customer_id,orders_last_3_months,avg_order_value,discount_usage,days_since_last_order,customer_tenure,membership_tier,complaints_filed,email_open_rate,churn,predicted_churn_probability
CUST000001,5,37.02,0.0,67,62,Gold,1,0.744,0,0.13037856357599345
CUST000002,7,22.06,6.0,32,1,Bronze,0,0.717,0,0.30912247928133213
CUST000003,5,45.2,0.0,10,51,Gold,2,0.7,0,0.04160889117254115
CUST000004,5,29.23,6.0,4,28,Silver,1,0.648,0,0.11663723540648532
CUST000005,8,24.31,4.0,32,43,Bronze,1,0.717,0,0.10006581909779941
CUST000006,6,35.22,4.0,55,51,Platinum,1,0.833,0,0.11734544385570433
CUST000007,5,35.55,5.0,33,14,Gold,0,0.852,0,0.13963686346837997
CUST000008,10,30.12,3.0,68,45,Gold,1,0.409,0,0.13634071092208672
CUST000009,7,39.56,5.0,50,8,Bronze,0,0.898,0,0.33102858989568196
CUST000010,1,17.21,3.0,19,57,Silver,0,0.867,1,0.3042414960407889
CUST000011,3,29.62,5.0,20,47,Bronze,0,0.484,0,0.33563249221353303
CUST000012,3,31.86,2.0,31,37,Gold,0,0.651,0,0.1016295950354421
CUST000013,6,8.0,5.0,18,23,Silver,0,0.904,0,0.17856971318060386
CUST000014,5,20.99,2.0,51,65,Gold,0,0.67,0,0.038389339296373684
CUST000015,4,21.13,6.0,59,19,Bronze,0,0.525,1,0.9065157402047679
CUST000016,5,32.85,6.0,31,20,Bronze,1,0.782,0,0.472911270580709
CUST000017,13,17.38,4.0,55,33,Silver,0,1.0,0,0.04608214261230359
CUST000018,1,8.0,5.0,37,9,Bronze,0,0.711,1,0.7232512760368913
CUST000019,3,19.62,3.0,67,32,Gold,0,0.897,1,0.4591005321154667
CUST000020,12,22.27,7.0,40,13,Silver,0,0.75,1,0.2743571627955802
CUST000021,9,25.95,1.0,20,18,Gold,1,1.0,0,0.024073078827699896
CUST000022,9,28.11,5.0,13,21,Bronze,0,0.724,0,0.06843073375526842
CUST000023,5,45.24,1.0,34,44,Platinum,0,0.596,0,0.029071187273483408
CUST000024,5,42.26,3.0,70,64,Gold,0,0.552,0,0.13385355140688146
CUST000025,4,47.06,1.0,47,55,Gold,1,,0,0.07637954431599427
CUST000026,1,15.33,6.0,30,16,Bronze,0,0.542,1,0.8469019780239146
CUST000027,7,16.45,6.0,34,26,Silver,0,0.922,0,0.12077918780047132
CUST000028,4,32.03,4.0,15,25,Bronze,1,0.679,0,0.2398924218808837
CUST000029,3,20.63,5.0,28,28,Bronze,0,0.522,1,0.6495518442891816
CUST000030,9,22.88,5.0,37,15,Silver,0,1.0,0,0.10773770712141217
CUST000031,7,23.73,5.0,47,33,Silver,0,0.59,0,0.2931889738008671
CUST000032,13,47.79,2.0,45,49,Platinum,0,0.817,0,0.012108902385078342
CUST000033,1,24.21,7.0,29,16,Bronze,0,0.52,0,0.8453033714228164
CUST000034,11,19.03,5.0,62,56,Bronze,1,0.716,0,0.24585913029112927
CUST000035,7,11.0,4.0,27,7,Silver,2,0.805,0,0.1937386334747298
CUST000036,3,38.18,4.0,80,56,Bronze,0,0.642,0,0.4337813039463627
CUST000037,6,16.04,6.0,19,30,Bronze,0,0.937,0,0.138626082169194
CUST000038,4,30.53,2.0,62,28,Silver,1,0.874,0,0.3758650651247663
CUST000039,5,24.08,3.0,9,1,Bronze,0,0.802,0,0.133795844031895
CUST000040,7,37.93,5.0,60,33,Silver,0,0.983,0,0.17969842362752797
CUST000041,6,19.49,6.0,43,54,Bronze,1,1.0,0,0.2424025447722722
CUST000042,3,48.26,1.0,16,37,Gold,0,,0,0.033794264897453734
CUST000043,3,28.17,2.0,11,53,Silver,0,0.946,0,0.04423714774995135
CUST000044,1,15.41,5.0,75,33,Bronze,0,0.41,1,0.9278849821546186
CUST000045,8,29.05,3.0,27,36,Gold,0,0.751,0,0.025051551486229125
CUST000046,6,28.02,3.0,70,31,Gold,1,0.807,0,0.2988149374451106
CUST000047,5,18.03,6.0,35,1,Bronze,0,0.841,0,0.5058586436829169
CUST000048,2,49.4,5.0,49,24,Bronze,1,0.784,0,0.6366193174369795
CUST000049,6,30.79,3.0,17,61,Silver,0,0.942,0,0.024593513853863817
CUST000050,5,17.95,5.0,36,41,Bronze,0,0.764,0,0.36823195222071065
CUST000051,9,32.9,7.0,20,9,Bronze,1,0.625,0,0.2152471684812602
CUST000052,6,35.78,4.0,77,5,Bronze,0,0.453,1,0.8164212780513531
CUST000053,7,31.0,4.0,3,14,Gold,2,0.386,0,0.09902229994467218
CUST000054,3,24.22,6.0,20,34,Silver,2,0.722,0,0.39747339457332936
CUST000055,4,36.92,6.0,55,6,Silver,0,0.788,1,0.765237987900604
CUST000056,9,46.95,2.0,28,25,Gold,1,0.681,0,0.01737830073848488
CUST000057,5,27.83,3.0,16,31,Silver,0,0.598,0,0.10093471020297463
CUST000058,10,22.6,3.0,51,55,Silver,0,,0,0.07350612827760883
CUST000059,2,29.71,7.0,55,18,Bronze,1,0.582,1,0.8994046165761984
CUST000060,1,36.67,4.0,46,34,Bronze,0,0.793,1,0.6201591227261856
CUST000061,7,25.92,3.0,65,60,Silver,0,0.775,0,0.22331599848351394
CUST000062,5,33.5,2.0,56,61,Silver,0,0.919,0,0.0923361161357784
CUST000063,5,29.61,3.0,40,59,Silver,0,0.694,0,0.13509088584226203
CUST000064,6,40.02,0.0,44,19,Gold,0,1.0,0,0.04821544600433288
